,review_en,review_es,sentiment,sentimiento
0,"One of the other reviewers has mentioned that after watching just 1 Oz episode you'll be hooked. They are right, as this is exactly what happened with me.The first thing that struck me about Oz was its brutality and unflinching scenes of violence, which set in right from the word GO. Trust me, this is not a show for the faint hearted or timid. This show pulls no punches with regards to drugs, sex or violence. Its is hardcore, in the classic use of the word.It is called OZ as that is the nickname given to the Oswald Maximum Security State Penitentary. It focuses mainly on Emerald City, an experimental section of the prison where all the cells have glass fronts and face inwards, so privacy is not high on the agenda. Em City is home to many..Aryans, Muslims, gangstas, Latinos, Christians, Italians, Irish and more....so scuffles, death stares, dodgy dealings and shady agreements are never far away.I would say the main appeal of the show is due to the fact that it goes where other shows wouldn't dare. Forget pretty pictures painted for mainstream audiences, forget charm, forget romance...OZ doesn't mess around. The first episode I ever saw struck me as so nasty it was surreal, I couldn't say I was ready for it, but as I watched more, I developed a taste for Oz, and got accustomed to the high levels of graphic violence. Not just violence, but injustice (crooked guards who'll be sold out for a nickel, inmates who'll kill on order and get away with it, well mannered, middle class inmates being turned into prison bitches due to their lack of street skills or prison experience) Watching Oz, you may become comfortable with what is uncomfortable viewing....thats if you can get in touch with your darker side.","Uno de los otros críticos ha mencionado que después de ver solo 1 Oz Episodio, estará enganchado. Tienen razón, ya que esto es exactamente lo que sucedió conmigo. La primera cosa que me golpeó sobre Oz fue su brutalidad y sus escenas de violencia inconfiadas, que se encuentran a la derecha de la palabra. Confía en mí, este no es un espectáculo para los débiles de corazón o tímido. Este espectáculo no extrae punzones con respecto a las drogas, el sexo o la violencia. Es Hardcore, en el uso clásico de la palabra. Se llama OZ, ya que es el apodo dado al Penitenciario del Estado de Seguridad Máximo de Oswald. Se centra principalmente en la ciudad de Emeralda, una sección experimental de la prisión donde todas las células tienen frentes de vidrio y se enfrentan hacia adentro, por lo que la privacidad no es alta en la agenda. Em City es el hogar de muchos ... Fariarios, musulmanes, gangstas, latinos, cristianos, italianos, irlandeses y más ... así que las esposas, las miradas de muerte, las relaciones peligrosas y los acuerdos sombreados nunca están lejos. Yo diría el principal atractivo de El espectáculo se debe al hecho de que va donde otros espectáculos no se atreverían. Olvídate de las imágenes bonitas pintadas para las audiencias convencionales, olvidan el encanto, olviden el romance ... Oz no se mete. El primer episodio que he visto me sorprendió tan desagradable que fue surrealista, no podía decir que estaba listo para ello, pero cuando observé más, desarrollé un gusto por Oz, y me acostumbré a los altos niveles de violencia gráfica. No solo la violencia, sino la injusticia (Guardias torcidas que se vendrán por un níquel, los reclusos que se matarán en orden y se alejarán con él, de manera educada, los reclusos de clase media se convirtieron en perras de la prisión debido a su falta de habilidades callejeras O experiencia en la prisión) viendo oz, puede sentirse cómodo con lo que es incómodo visualización ... eso es si puedes ponerte en contacto con tu lado más oscuro.",positive,positivo
1,"A wonderful little production. The filming technique is very unassuming- very old-time-BBC fashion and gives a comforting, and sometimes discomforting, sense of realism to the entire piece. The actors are extremely well chosen- Michael Sheen not only ""has got all the polari"" but he has all the voices down pat too! You can truly see the seamless editing guided by the references to Williams' diary entries, not only is it well worth the watching but it is a terrificly written and performed piece. A masterful production about one of the great master's of comedy and his life. The realism really comes home with the little things: the fantasy of the guard which, rather than use the traditional 'dream' techniques remains solid then disappears. It plays on our knowledge and our senses, particularly with the scenes concerning Orton and Halliwell and the sets (particularly of their flat with Halliwell's murals decorating every surface) are terribly well done.","Una pequeña pequeña producción.La técnica de filmación es muy incuestionable, muy antigua, la moda de la BBC y le da una sensación de realismo reconfortante, y, a veces, incómodo, y, a veces, a la pieza.Los actores son extremadamente bien elegidos, Michael Sheen, no solo ""tiene todo el polari"", ¡pero tiene todas las voces por palmaditas!Realmente puede ver la edición perfecta guiada por las referencias a las entradas del diario de Williams, no solo vale la pena la observación, pero es una pieza imperrementemente escrita y realizada.Una producción magistral sobre uno de los grandes maestros de la comedia y su vida.El realismo realmente llega a casa con las pequeñas cosas: la fantasía del guardia que, en lugar de usar las técnicas de ""sueño"" tradicionales permanece sólido, entonces desaparece.Se desempeña nuestro conocimiento y nuestros sentidos, particularmente con las escenas relacionadas con Orton y Halliwell y los conjuntos (particularmente de su apartamento con murales de Halliwell que decoran cada superficie) están terriblemente bien hechos.",positive,positivo
2,"I thought this was a wonderful way to spend time on a too hot summer weekend, sitting in the air conditioned theater and watching a light-hearted comedy. The plot is simplistic, but the dialogue is witty and the characters are likable (even the well bread suspected serial killer). While some may be disappointed when they realize this is not Match Point 2: Risk Addiction, I thought it was proof that Woody Allen is still fully in control of the style many of us have grown to love.This was the most I'd laughed at one of Woody's comedies in years (dare I say a decade?). While I've never been impressed with Scarlet Johanson, in this she managed to tone down her ""sexy"" image and jumped right into a average, but spirited young woman.This may not be the crown jewel of his career, but it was wittier than ""Devil Wears Prada"" and more interesting than ""Superman"" a great comedy to go see with friends.","Pensé que esta era una manera maravillosa de pasar tiempo en un fin de semana de verano demasiado caliente, sentado en el teatro con aire acondicionado y observando una comedia alegre.La parcela es simplista, pero el diálogo es ingenioso y los personajes son agradables (incluso el asesino en serie de la sospecha de pan del pozo).Mientras que algunos pueden decepcionarse cuando se dan cuenta de que este no es el punto de partido 2: la adicción al riesgo, pensé que era una prueba de que Woody Allen todavía está en control del estilo que muchos de nosotros hemos crecido a amar. Esto fue el más reído.En una de las comedias de Woody en años (¡Dare, digo una década?).Mientras nunca me quedé impresionado con Scarlet Johanson, en esto logró tonificar su imagen ""sexy"" y saltó a una joven promedio, pero enérgica. Esto puede que no sea la joya de la corona de su carrera, pero fue Wittier.""El diablo viste prada"" y más interesante que ""Superman"" una gran comedia para ir a ver con amigos.",positive,positivo
3,"Basically there's a family where a little boy (Jake) thinks there's a zombie in his closet & his parents are fighting all the time.This movie is slower than a soap opera... and suddenly, Jake decides to become Rambo and kill the zombie.OK, first of all when you're going to make a film you must Decide if its a thriller or a drama! As a drama the movie is watchable. Parents are divorcing & arguing like in real life. And then we have Jake with his closet which totally ruins all the film! I expected to see a BOOGEYMAN similar movie, and instead i watched a drama with some meaningless thriller spots.3 out of 10 just for the well playing parents & descent dialogs. As for the shots with Jake: just ignore them.","Básicamente, hay una familia donde un niño pequeño (Jake) piensa que hay un zombie en su armario y sus padres están luchando todo el tiempo. Esta película es más lenta que una telenovela ... y de repente, Jake decide convertirse en Rambie y matar al zombi..OK, ¡ante todo cuando vas a hacer una película, debes decidir si es un thriller o un drama!Como drama, la película es vigilable.Los padres están divorciando y discutiendo como en la vida real.¡Y luego tenemos Jake con su armario que arruina totalmente toda la película!Esperaba ver una película similar a una boogeyman, y en lugar de eso, vi a un drama con algunos lugares de thriller sin sentido.3 de 10 solo para los diálogos de padres y descenso de los padres y los padres.En cuanto a los disparos con Jake: simplemente ignóralos.",negative,negativo
4,"Petter Mattei's ""Love in the Time of Money"" is a visually stunning film to watch. Mr. Mattei offers us a vivid portrait about human relations. This is a movie that seems to be telling us what money, power and success do to people in the different situations we encounter. This being a variation on the Arthur Schnitzler's play about the same theme, the director transfers the action to the present time New York where all these different characters meet and connect. Each one is connected in one way, or another to the next person, but no one seems to know the previous point of contact. Stylishly, the film has a sophisticated luxurious look. We are taken to see how these people live and the world they live in their own habitat.The only thing one gets out of all these souls in the picture is the different stages of loneliness each one inhabits. A big city is not exactly the best place in which human relations find sincere fulfillment, as one discerns is the case with most of the people we encounter.The acting is good under Mr. Mattei's direction. Steve Buscemi, Rosario Dawson, Carol Kane, Michael Imperioli, Adrian Grenier, and the rest of the talented cast, make these characters come alive.We wish Mr. Mattei good luck and await anxiously for his next work.","El ""amor en el tiempo"" de Petter Mattei es una película visualmente impresionante para ver. El Sr. Mattei nos ofrece un retrato vívido sobre las relaciones humanas. Esta es una película que parece estar diciéndonos qué dinero, poder y éxito le hacen a las personas en las diferentes situaciones que encontramos. Esta es una variación en el desempeño de Arthur Schnitzler sobre el mismo tema, el director transfiere la acción a la actual Nueva York, donde todos estos personajes diferentes se reúnen y se conectan. Cada uno está conectado de una manera u otro a la siguiente persona, pero nadie parece conocer el punto de contacto anterior. Con estilo, la película tiene un aspecto lujoso sofisticado. Nos toman para ver cómo viven estas personas y el mundo que viven en su propio hábitat. La única cosa que se sale de todas estas almas en la imagen son las diferentes etapas de la soledad, cada uno habita. Una gran ciudad no es exactamente el mejor lugar en el que las relaciones humanas encuentran un cumplimiento sincero, ya que un discernimiento es el caso con la mayoría de las personas que encontramos. La actuación es buena bajo la dirección del Sr. Mattei. Steve Buscemi, Rosario Dawson, Carol Kane, Michael Imperioli, Adrian Grenier y el resto del talentoso elenco, hacen que estos personajes cobren vida. Les deseamos que el Sr. Mattei tenga buena suerte y espere ansiosamente su próximo trabajo.",positive,positivo
5,"Probably my all-time favorite movie, a story of selflessness, sacrifice and dedication to a noble cause, but it's not preachy or boring. It just never gets old, despite my having seen it some 15 or more times in the last 25 years. Paul Lukas' performance brings tears to my eyes, and Bette Davis, in one of her very few truly sympathetic roles, is a delight. The kids are, as grandma says, more like ""dressed-up midgets"" than children, but that only makes them more fun to watch. And the mother's slow awakening to what's happening in the world and under her own roof is believable and startling. If I had a dozen thumbs, they'd all be ""up"" for this movie.","Probablemente mi película favorita de todos los tiempos, una historia de desinteresidad, sacrificio y dedicación a una causa noble, pero no es predicada ni aburrida.Simplemente nunca envejece, a pesar de haberlo visto unas 15 o más veces en los últimos 25 años.El rendimiento de Paul Lukas trae lágrimas a mis ojos, y Bette Davis, en uno de sus muy pocos roles verdaderamente simpáticos, es una deleite.Los niños son, como dice la abuela, más como ""vestidos de enanos"" que los niños, pero eso solo los hace más divertidos de ver.Y el lento despertar de la madre a lo que está sucediendo en el mundo y bajo su propio techo es creíble y sorprendente.Si tuviera una docena de pulgares, todos serían ""arriba"" para esta película.",positive,positivo
6,"I sure would like to see a resurrection of a up dated Seahunt series with the tech they have today it would bring back the kid excitement in me.I grew up on black and white TV and Seahunt with Gunsmoke were my hero's every week.You have my vote for a comeback of a new sea hunt.We need a change of pace in TV and this would work for a world of under water adventure.Oh by the way thank you for an outlet like this to view many viewpoints about TV and the many movies.So any ole way I believe I've got what I wanna say.Would be nice to read some more plus points about sea hunt.If my rhymes would be 10 lines would you let me submit,or leave me out to be in doubt and have me to quit,If this is so then I must go so lets do it.","Seguro que me gustaría ver una resurrección de una serie de Seahunt de Dated con la tecnología que tienen hoy. Traería la emoción del niño en mí. Crecí en la televisión en blanco y negro, la TV y la junta de mar con armas de arma eran mis héroes todas las semanas.Mi voto por un regreso de una nueva caza de mar. Necesitamos un cambio de ritmo en la televisión y esto funcionaría para un mundo de la aventura bajo el agua. Oh, por cierto, gracias por un punto de vista así para ver muchos puntos de vista sobre la televisión y elMuchas películas. Así que cualquier otra manera, creo que tengo lo que quiero decir. Sería bueno leer algunos puntos más más sobre la búsqueda del mar. Si mis rimas serían 10 líneas, ¿me dejaría presentarme o dejarme salir?Teniendo en duda y si me quites, si esto es así, entonces debo irme así que lo hagamos.",positive,positivo
7,"This show was an amazing, fresh & innovative idea in the 70's when it first aired. The first 7 or 8 years were brilliant, but things dropped off after that. By 1990, the show was not really funny anymore, and it's continued its decline further to the complete waste of time it is today.It's truly disgraceful how far this show has fallen. The writing is painfully bad, the performances are almost as bad - if not for the mildly entertaining respite of the guest-hosts, this show probably wouldn't still be on the air. I find it so hard to believe that the same creator that hand-selected the original cast also chose the band of hacks that followed. How can one recognize such brilliance and then see fit to replace it with such mediocrity? I felt I must give 2 stars out of respect for the original cast that made this show such a huge success. As it is now, the show is just awful. I can't believe it's still on the air.","Este espectáculo fue una idea increíble, fresca e innovadora en los años 70 cuando se emitió por primera vez.Los primeros 7 u 8 años fueron brillantes, pero las cosas se dejaron después de eso.Para 1990, el espectáculo ya no era realmente divertido, y continúa su descenso a la completa pérdida de tiempo que es hoy. Es verdaderamente vergonzosa hasta qué punto ha caído este espectáculo.La escritura es dolorosamente mala, las actuaciones son casi tan malas, si no para el respiro levemente entretenido de los hosts de invitados, este programa probablemente no estaría en el aire.Me resulta tan difícil creer que el mismo creador que seleccionó a mano el reparto original también eligió la banda de hacks que siguieron.¿Cómo se puede reconocer ese brillo y luego verlos adecuados para reemplazarlo con tal mediocridad?Sentí que debía darle a 2 estrellas del respeto por el elenco original que hizo que este programa fuera un gran éxito.Como es ahora, el espectáculo es simplemente horrible.No puedo creer que todavía esté en el aire.",negative,negativo
8,"Encouraged by the positive comments about this film on here I was looking forward to watching this film. Bad mistake. I've seen 950+ films and this is truly one of the worst of them - it's awful in almost every way: editing, pacing, storyline, 'acting,' soundtrack (the film's only song - a lame country tune - is played no less than four times). The film looks cheap and nasty and is boring in the extreme. Rarely have I been so happy to see the end credits of a film. The only thing that prevents me giving this a 1-score is Harvey Keitel - while this is far from his best performance he at least seems to be making a bit of an effort. One for Keitel obsessives only.","Alentados por los comentarios positivos sobre esta película aquí, estaba deseando ver esta película.Mal error.He visto 950+ películas y esto es verdaderamente uno de los peores de ellos, es horrible en casi todos los sentidos: la edición, la ritmo, la historia, la actuación "", la sola canción de la película, una melodía coja, no se juegamenos de cuatro veces).La película se ve barata y desagradable y es aburrida en el extremo.Rara vez he estado tan feliz de ver los créditos finales de una película.Lo único que me impide dar esto un puntaje de 1 es Harvey Keitel, mientras que esto está lejos de su mejor rendimiento, al menos parece estar haciendo un poco de esfuerzo.Uno solo para obsesivos de Keitel.",negative,negativo
9,"If you like original gut wrenching laughter you will like this movie. If you are young or old then you will love this movie, hell even my mom liked it.Great Camp!!!","Si te gusta la risa original desgarradora, te gustará esta película.Si eres joven o viejo, te encantará esta película, el infierno, incluso a mi mamá le gustó. ¡¡¡Campamento de Great !!!",positive,positivo
