RESUMEN EJECUTIVO DE VENTAS POR SEMANA,,,,,,,,
Análisis consolidado por semana con indicadores clave de rendimiento (KPIs) y variación semana a semana (WoW),,,,,,,,
,,,,,,,,
VENTAS TOTALES,,,UNIDADES VENDIDAS,,,TICKET PROMEDIO GENERAL,,
"$10.032.628,85",,,99.067,,,"$32.121,57",,
,,,,,,,,
,,,,,,,,
Año,Semana N°,Año - Semana,Ventas Totales ($),Ticket Promedio ($),Unidades Vendidas,Cantidad Pedidos,Ventas Sem. Anterior ($),Variación WoW (%)
2003,2,2003-W02,"$30.429,64","$10.143,21",373,3,-,-
2003,5,2003-W05,"$99.323,96","$49.661,98",984,2,"$30.429,64","+226,4%"
2003,7,2003-W07,"$58.871,11","$58.871,11",545,1,"$99.323,96","-40,7%"
2003,8,2003-W08,"$56.181,32","$56.181,32",675,1,"$58.871,11","-4,6%"
2003,9,2003-W09,"$25.783,76","$25.783,76",229,1,"$56.181,32","-54,1%"
2003,10,2003-W10,"$55.245,02","$55.245,02",561,1,"$25.783,76","+114,3%"
2003,11,2003-W11,"$27.398,82","$27.398,82",212,1,"$55.245,02","-50,4%"
2003,12,2003-W12,"$51.017,92","$51.017,92",570,1,"$27.398,82","+86,2%"
2003,13,2003-W13,"$40.843,14","$13.614,38",412,3,"$51.017,92","-19,9%"
2003,14,2003-W14,"$62.994,82","$31.497,41",561,2,"$40.843,14","+54,2%"
2003,15,2003-W15,"$1.711,26","$1.711,26",27,1,"$62.994,82","-97,3%"
2003,16,2003-W16,"$43.657,47","$43.657,47",402,1,"$1.711,26","+2451,2%"
2003,17,2003-W17,"$4.219,20","$4.219,20",36,1,"$43.657,47","-90,3%"
2003,18,2003-W18,"$89.026,80","$44.513,40",967,2,"$4.219,20","+2010,0%"
2003,19,2003-W19,"$71.453,80","$35.726,90",730,2,"$89.026,80","-19,7%"
2003,21,2003-W21,"$60.146,10","$20.048,70",670,3,"$71.453,80","-15,8%"
2003,22,2003-W22,"$61.073,21","$61.073,21",617,1,"$60.146,10","+1,5%"
2003,23,2003-W23,"$85.910,23","$42.955,12",697,2,"$61.073,21","+40,7%"
2003,24,2003-W24,"$32.376,29","$32.376,29",349,1,"$85.910,23","-62,3%"
2003,25,2003-W25,"$27.628,30","$13.814,15",317,2,"$32.376,29","-14,7%"
2003,26,2003-W26,"$22.167,74","$22.167,74",286,1,"$27.628,30","-19,8%"
2003,27,2003-W27,"$102.156,47","$34.052,16",936,3,"$22.167,74","+360,8%"
2003,28,2003-W28,"$15.146,32","$15.146,32",138,1,"$102.156,47","-85,2%"
2003,29,2003-W29,"$28.397,26","$28.397,26",266,1,"$15.146,32","+87,5%"
2003,30,2003-W30,"$42.031,83","$42.031,83",385,1,"$28.397,26","+48,0%"
2003,31,2003-W31,"$31.569,43","$31.569,43",290,1,"$42.031,83","-24,9%"
2003,32,2003-W32,"$108.826,55","$54.413,28",1.101,2,"$31.569,43","+244,7%"
2003,33,2003-W33,"$1.637,20","$1.637,20",20,1,"$108.826,55","-98,5%"
2003,35,2003-W35,"$55.776,12","$55.776,12",563,1,"$1.637,20","+3306,8%"
2003,36,2003-W36,"$42.592,52","$21.296,26",417,2,"$55.776,12","-23,6%"
2003,37,2003-W37,"$81.291,79","$40.645,90",797,2,"$42.592,52","+90,9%"
2003,38,2003-W38,"$81.720,94","$40.860,47",722,2,"$81.291,79","+0,5%"
2003,39,2003-W39,"$58.368,11","$29.184,06",574,2,"$81.720,94","-28,6%"
2003,40,2003-W40,"$77.478,70","$25.826,23",687,3,"$58.368,11","+32,7%"
2003,41,2003-W41,"$162.787,28","$27.131,21",1.606,6,"$77.478,70","+110,1%"
2003,42,2003-W42,"$73.502,20","$36.751,10",749,2,"$162.787,28","-54,8%"
2003,43,2003-W43,"$192.217,32","$38.443,46",1.831,5,"$73.502,20","+161,5%"
2003,44,2003-W44,"$62.305,47","$62.305,47",642,1,"$192.217,32","-67,6%"
2003,45,2003-W45,"$325.737,34","$32.573,73",3.241,10,"$62.305,47","+422,8%"
2003,46,2003-W46,"$331.328,67","$47.332,67",3.248,7,"$325.737,34","+1,7%"
2003,47,2003-W47,"$183.203,56","$30.533,93",1.848,6,"$331.328,67","-44,7%"
2003,48,2003-W48,"$189.568,09","$37.913,62",1.842,5,"$183.203,56","+3,5%"
2003,49,2003-W49,"$198.145,68","$33.024,28",1.874,6,"$189.568,09","+4,5%"
2003,50,2003-W50,"$63.730,78","$63.730,78",615,1,"$198.145,68","-67,8%"
2004,1,2004-W01,"$54.536,87","$54.536,87",530,1,"$63.730,78","-14,4%"
2004,2,2004-W02,"$23.889,32","$23.889,32",269,1,"$54.536,87","-56,2%"
2004,3,2004-W03,"$166.828,46","$55.609,49",1.719,3,"$23.889,32","+598,3%"
2004,4,2004-W04,"$8.477,22","$8.477,22",90,1,"$166.828,46","-94,9%"
2004,5,2004-W05,"$62.845,55","$31.422,78",637,2,"$8.477,22","+641,3%"
2004,6,2004-W06,"$29.979,01","$14.989,51",283,2,"$62.845,55","-52,3%"
2004,7,2004-W07,"$54.902,95","$27.451,48",436,2,"$29.979,01","+83,1%"
2004,8,2004-W08,"$200.665,35","$40.133,07",2.105,5,"$54.902,95","+265,5%"
2004,9,2004-W09,"$25.872,22","$25.872,22",237,1,"$200.665,35","-87,1%"
2004,10,2004-W10,"$46.802,27","$46.802,27",502,1,"$25.872,22","+80,9%"
2004,11,2004-W11,"$70.705,47","$35.352,74",670,2,"$46.802,27","+51,1%"
2004,12,2004-W12,"$79.503,87","$26.501,29",701,3,"$70.705,47","+12,4%"
2004,14,2004-W14,"$47.311,86","$15.770,62",576,3,"$79.503,87","-40,5%"
2004,15,2004-W15,"$56.133,90","$28.066,95",519,2,"$47.311,86","+18,6%"
2004,16,2004-W16,"$74.269,06","$24.756,35",660,3,"$56.133,90","+32,3%"
2004,17,2004-W17,"$1.698,78","$1.698,78",46,1,"$74.269,06","-97,7%"
2004,18,2004-W18,"$35.456,64","$17.728,32",381,2,"$1.698,78","+1987,2%"
2004,19,2004-W19,"$169.047,87","$33.809,57",1.569,5,"$35.456,64","+376,8%"
2004,20,2004-W20,"$48.472,24","$48.472,24",521,1,"$169.047,87","-71,3%"
2004,21,2004-W21,"$27.987,07","$27.987,07",216,1,"$48.472,24","-42,3%"
2004,22,2004-W22,"$27.931,21","$27.931,21",312,1,"$27.987,07","-0,2%"
2004,23,2004-W23,"$55.825,15","$27.912,58",490,2,"$27.931,21","+99,9%"
2004,24,2004-W24,"$4.749,45","$4.749,45",63,1,"$55.825,15","-91,5%"
2004,25,2004-W25,"$112.410,10","$28.102,53",1.149,4,"$4.749,45","+2266,8%"
2004,26,2004-W26,"$50.010,65","$50.010,65",605,1,"$112.410,10","-55,5%"
2004,27,2004-W27,"$76.013,69","$25.337,90",758,3,"$50.010,65","+52,0%"
2004,28,2004-W28,"$79.673,83","$39.836,92",739,2,"$76.013,69","+4,8%"
2004,29,2004-W29,"$6.693,28","$6.693,28",80,1,"$79.673,83","-91,6%"
2004,30,2004-W30,"$228.442,16","$38.073,69",2.261,6,"$6.693,28","+3313,0%"
2004,32,2004-W32,"$90.087,09","$30.029,03",873,3,"$228.442,16","-60,6%"
